code,nl
self . clear cdata mode ( ),call the method self.clear_cdata_mode .
"def new file ( self , * args , ** kwargs ) :","define the method new_file with arguments : self , unpacked list args and unpacked dictionary kwargs ."
max num = NUM_,max_num is integer 1 .
def  decorator ( view func ) :,substitute the middleware . define the function _decorator with an argument view_func .
return chunk [ : - rollback ],return last rollback elements of chunk .
self . pubid = pubid,substitute pubid for self.pubid .
if filepath . startswith ( root ) :,"if filepath starts with root ,"
if old attr is None :,"if old_attr is None ,"
if bmatch . group ( NUM_ ) :,"call the method bmatch.group with an argument integer 1 , if it evaluates to true ,"
except StandardError as e :,"substitute the result for filters dictionary value under name key . if StandardError , renamed to e , exception is caught ,"
else :,"if not ,"
res =,res is an empty string .
"in dent = self . options . get ( "" STR_ "" )","get the value under the 'indent ' key of the self.options dictionary , substitute it for indent ."
self . base = base,substitute base for self.base .
raise NotImplementedError ( STR_ ),raise an NotImplementedError exception with argument string 'subclasses of Storage must provide a delete ( ) method ' .
pass,do nothing .
"self . setlist ( k , v )",call the method self.setlist with 2 arguments : k and v .
from django . core . exceptions import DisallowedRedirect,from django.core.exceptions import DisallowedRedirect into default name space .
field params [ STR_ ] = row [ NUM_ ],substitute sixth element of row for value under the 'decimal_places ' key of the field_params .
elif not self . required and not value :,"and code set to string 'required . otherwise if self.required is false and value is false ,"
del  active . value,delete _active.value .
if csrf token is not None :,"if csrf_token is not None ,"
return yes,return yes .
return self .   cast ( ) ! = other,"call the method self.__cast , if the result doesnt equal to other , return boolean True , otherwise return boolean False ."
import types,import module types .
now = now . replace ( tzinfo = None ),"call the method now.replace with argument tzinfo set to None , substitute it for now ."
if not support legacy :,"if support_legacy is false ,"
from datetime import datetime,from datetime import datetime into default name space .
"if hasattr ( middleware , STR_ ) :","if middleware has an attribute 'process_view ' ,"
else :,"if not ,"
substitutions [ STR_ ] = conditional escape ( checkbox id ),"substitute the result for value under the 'clear_checkbox_name ' key of the substitutions dictionary . call the function conditional_escape with an argument checkbox_id ,"
return data,return data .
@ streaming content . setter,"streaming_content.setter decorator ,"
elif ch == STR_ :,"otherwise if ch equals a string ' $ ' ,"
year = year + off,"sum year and off , substitute the result for year ."
"self . xml = SimplerXMLGenerator ( self . stream , self . options . get ( "" STR_ "" , settings . DEFAULT CHARSET ) )",self.xml is a instance of SimplerXMLGenerator class created with 2 arguments : self.stream and value under the 'encoding ' key of the
"return force text ( quote ( force str ( url ) , force str ( safe ) ) )","call the function quote with 2 arguments : result of the function force_str called with an argument url ,"
return self . tokens . pop ( NUM_ ),"remove first element from self.tokens , return removed element ."
for module in get format modules ( lang ) :,"call the function get_format_modules with an argument lang , for every module in the result ,"
except UnicodeEncodeError :,"if UnicodeEncodeError exception is caught ,"
"def   init   ( self , * args , ** kwargs ) :","define the method __init__ with 3 arguments : self , unpacked list args and unpacked dictionary kwargs ."
"return render value in context ( value , context )","call the function render_value_in_context with 2 arguments : value and context , return the result ."
if localized fields is not None :,"if localized_fields is not None ,"
used column names = [ ],used_column_names is an empty list .
termios = None,termios is None .
else :,"if not ,"
"elif not is in stance ( file name , six . string types ) and is  iterable ( file name ) :","otherwise if file_name is not an instance of six.string_types and call to the function is_iterable with an argument file_name ,"
"handler . addQuickElement ( "" STR_ "" , item [ STR_ ] , { "" STR_ "" : "" STR_ "" } )","call the method handler.addQuickElement with 3 arguments : string 'summary ' , value under the 'description ' key of item dictionary ,"
self . in stance = self . fk . rel . to ( ),"call the method self.fk.rel.to , substitute the result for self.instance ."
class HttpResponseNotModified ( HttpResponse ) :,derive the class HttpResponseNotModified from the HttpResponse base class .
httpd . serve forever ( ),call the method httpd.serve_forever .
"has new option = hasattr ( self , STR_ )","if self has an 'requires_system_checks ' attribute , has_new_option is boolean True , otherwise it is boolean False ."
or iginal lookup = lookup view,"substitute lookup_view for original_lookup ,"
for entry in package path :,"for every entry in package_path ,"
if escaped :,"if escaped is true ,"
if finder . find module ( name ) :,"if call to the method finder.find_module with an argument name evaluates to true ,"
def exit command ( self ) :,define the method exit_command with an argument self .
def  to tuple ( s ) :,define function _to_tuple with s as an argument .
break,"break from the loop execution ,"
class SkipFile ( UploadFileException ) :,derive the class SkipFile from the UploadFileException base class .
"return data . get ( name , None )","get the value under the name key of the data dictionary , if it exists return it , if not return None ."
"self . stdout . write ( "" STR_ "" % ( "" STR_ "" . join ( app labels ) ) )","substitute ' % s ' in string `` No changes detected in apps ' % s ' '' with the app_labels joined into a string , separated by string `` ' , ' '' ,"
"w = self . choice input class ( self . name , self . value , self . attrs . copy ( ) , choice , i )","call the method self.choice_input_class with 5 arguments : self.name , self.value , return value of the method self.attrs.copy ,"
for meta line in self . get meta ( table name ) :,for meta_line in return value of the method self.get_meta called with an argument table_name .
if url . endswith ( / ) :,"if url ends with '/ ' character ,"
"return - . join ( [ template name , hashlib . sha1 ( force bytes ( | . join ( template dirs ) ) ) . hexdigest ( ) ] )","join template_dirs elements into a string , separated by '| ' , use it as an argument for the call to the function force_bytes ,"
def reload ( self ) :,define the method with reload with an argument self .
"pks = set ( force text ( getattr ( o , key ) ) for o in qs )","substitute the result for qs . pks is a set containing results of the call to the function force_text with an argument , key attribute of the o object ,"
